PitcherNational,PreAP_ER(TotalEarnedRunCnt),PreAP_TotalHittingCnt,PreAP_IP,PreAP_BF,PreAP_NP,PreAP_HR,PreAP_BB,PreAP_SO,PreAP_RunCnt,PreSO%,PreBB%,PreHR%,PreFIP,PreBABIP,PreERA,PreWHIP,PreBAT.A_AB,PreBAT.A_RBI,PreBAT.A_R,PreBAT.A_H,PreBAT.A_BB,PreBAT.A_SO,PreBAT.BIP%,PreBAT.BABIP,PreBAT.WOBA,PreBAT.BB%,PreBAT.K%,Brother.PitcherNational,Brother.PreAP_ER(TotalEarnedRunCnt),Brother.PreAP_TotalHittingCnt,Brother.PreAP_IP,Brother.PreAP_BF,Brother.PreAP_NP,Brother.PreAP_HR,Brother.PreAP_BB,Brother.PreAP_SO,Brother.PreAP_RunCnt,Brother.PreSO%,Brother.PreBB%,Brother.PreHR%,Brother.PreFIP,Brother.PreBABIP,Brother.PreERA,Brother.PreWHIP,Brother.PreBAT.A_AB,Brother.PreBAT.A_RBI,Brother.PreBAT.A_R,Brother.PreBAT.A_H,Brother.PreBAT.A_BB,Brother.PreBAT.A_SO,Brother.PreBAT.BIP%,Brother.PreBAT.BABIP,Brother.PreBAT.WOBA,Brother.PreBAT.BB%,Brother.PreBAT.K%,DayNight_D,PitcherHabit_0,PitcherHabit_1,PitcherHabit_2,PitcherHabit_3,PitcherHabit_4,Brother.PitcherHabit_0,Brother.PitcherHabit_1,Brother.PitcherHabit_2,Brother.PitcherHabit_3,Brother.PitcherHabit_4,VisitingHomeType_1,WinLoss_0,WinLoss_1,WinLoss_2
0.0,19.0,63.0,51.666668,230.0,887.0,2.0,17.0,30.0,23.0,0.14285715,0.10714286,0.035714287,5.5333333,0.35,3.0,1.8333334,2292.0,315.0,341.0,657.0,211.0,390.0,0.8,0.32142857,0.2609143,0.0,0.2,1.0,12.0,38.0,30.0,134.0,445.0,1.0,7.0,24.0,18.0,0.17391305,0.0,0.0,1.7882353,0.36842105,1.5882353,1.2352941,2342.0,322.0,349.0,702.0,217.0,350.0,0.75,0.4,0.4387,0.075,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,20.0,44.0,57.333332,238.0,939.0,7.0,26.0,43.0,22.0,0.115384616,0.1923077,0.07692308,10.2,0.26666668,10.8,2.2,2326.0,322.0,348.0,666.0,215.0,401.0,0.53846157,0.33333334,0.37233335,0.102564104,0.2820513,0.0,6.0,10.0,11.333333,47.0,196.0,1.0,5.0,10.0,7.0,0.2962963,0.11111111,0.037037037,4.1473684,0.33333334,5.6842103,1.4210526,2376.0,330.0,357.0,715.0,223.0,354.0,0.6666667,0.35714287,0.48257142,0.13636364,0.09090909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,54.0,130.0,98.333336,428.0,1426.0,11.0,17.0,36.0,64.0,0.16666667,0.03333333,0.1,9.376471,0.35,12.705882,1.9411764,2364.0,328.0,354.0,676.0,220.0,407.0,0.70454544,0.29032257,0.34309092,0.11363637,0.13636364,1.0,36.0,106.0,97.0,420.0,1497.0,3.0,23.0,75.0,42.0,0.20689656,0.13793103,0.03448276,5.6,0.23529412,1.35,1.35,2414.0,339.0,366.0,728.0,226.0,363.0,0.61904764,0.3846154,0.44738096,0.071428575,0.21428572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,31.0,88.0,83.333336,363.0,1338.0,4.0,32.0,60.0,41.0,0.16666667,0.03333333,0.0,2.15,0.3478261,1.35,1.35,2584.0,368.0,398.0,751.0,239.0,449.0,0.75609756,0.41935483,0.3809756,0.09756098,0.14634146,0.0,15.0,57.0,51.0,209.0,629.0,2.0,4.0,29.0,17.0,0.13793103,0.03448276,0.0,2.317647,0.41666666,7.9411764,1.9411764,2587.0,362.0,389.0,775.0,242.0,396.0,0.7567568,0.32142857,0.2663243,0.02631579,0.21052632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,27.0,80.0,60.333332,277.0,1069.0,3.0,22.0,37.0,33.0,0.1,0.05,0.0,2.9272728,0.47058824,7.3636365,2.4545455,2623.0,374.0,405.0,762.0,243.0,453.0,0.76744187,0.27272728,0.40209302,0.093023255,0.093023255,1.0,40.0,113.0,103.0,446.0,1582.0,5.0,24.0,77.0,46.0,0.07692308,0.038461536,0.07692308,7.366667,0.23809524,6.0,1.3333334,2627.0,368.0,397.0,788.0,246.0,404.0,0.70454544,0.38709676,0.38661364,0.09090909,0.18181819,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,39.0,100.0,97.0,423.0,1564.0,5.0,37.0,70.0,49.0,0.1923077,0.0,0.038461536,4.2,0.33333334,7.5,1.1666666,2813.0,398.0,430.0,814.0,254.0,503.0,0.7234042,0.38235295,0.3203617,0.020833332,0.22916667,0.0,23.0,79.0,62.333332,260.0,785.0,3.0,5.0,35.0,25.0,0.14285715,0.0,0.0,2.0,0.5555556,5.4,2.0,2819.0,404.0,433.0,856.0,262.0,439.0,0.5869565,0.22222222,0.262,0.10638298,0.25531915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,29.0,63.0,74.666664,317.0,1252.0,8.0,29.0,60.0,32.0,0.31034482,0.0,0.0,0.62857145,0.35,3.857143,1.0,2913.0,417.0,450.0,848.0,264.0,520.0,0.7,0.35714287,0.4126,0.12195122,0.12195122,1.0,21.0,61.0,47.666668,212.0,685.0,5.0,10.0,29.0,27.0,0.08,0.08,0.04,6.2,0.36842105,7.2,2.0,2933.0,414.0,445.0,887.0,266.0,470.0,0.6571429,0.3043478,0.21834286,0.0,0.34285715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,40.0,104.0,104.0,450.0,1677.0,5.0,40.0,72.0,50.0,0.074074075,0.11111111,0.0,4.3428574,0.1904762,1.2857143,1.0,2950.0,427.0,461.0,864.0,269.0,524.0,0.76744187,0.4848485,0.47551164,0.11627907,0.093023255,1.0,12.0,31.0,32.333332,135.0,487.0,2.0,12.0,19.0,18.0,0.074074075,0.074074075,0.0,4.0333333,0.3181818,4.5,1.5,2963.0,414.0,446.0,892.0,269.0,473.0,0.7941176,0.18518518,0.23738235,0.0882353,0.0882353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,46.0,86.0,79.0,356.0,1337.0,10.0,43.0,42.0,52.0,0.13333334,0.2,0.0,4.7789474,0.25,5.6842103,1.7368422,2981.0,428.0,462.0,869.0,270.0,533.0,0.65625,0.1904762,0.20665625,0.03125,0.28125,1.0,25.0,90.0,78.333336,319.0,974.0,4.0,7.0,49.0,27.0,0.28125,0.03125,0.03125,2.9777777,0.1904762,1.0,0.6666667,3000.0,420.0,453.0,902.0,276.0,478.0,0.70454544,0.29032257,0.3588409,0.1590909,0.11363637,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,57.0,148.0,119.333336,513.0,1712.0,12.0,22.0,48.0,68.0,0.04,0.08,0.0,3.8666666,0.27272728,1.5,1.3333334,3050.0,436.0,470.0,886.0,275.0,553.0,0.675,0.33333334,0.3712,0.075,0.2,1.0,16.0,40.0,39.333332,167.0,594.0,3.0,15.0,26.0,22.0,0.21875,0.09375,0.03125,4.3428574,0.3809524,5.142857,1.7142857,3067.0,429.0,463.0,924.0,282.0,484.0,0.7894737,0.36666667,0.37273684,0.125,0.075,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
